Amount,Vendor,Date,Category,Description
3411.51,"TechCorp Solutions",2026-01-05,"Equipment","Equipment purchase from TechCorp Solutions"
4918.41,"Standard Equipment",2026-01-04,"Travel","Travel purchase from Standard Equipment"
494.19,"Elite Consulting",2026-01-06,"Office Supplies","Office Supplies purchase from Elite Consulting"
627.26,"Fraudulent Patterns Inc",2025-02-11,"Equipment","Equipment purchase from Fraudulent Patterns Inc"
15000.00,"Fraudulent Patterns Inc",2025-12-17,"Consulting","Consulting purchase from Fraudulent Patterns Inc"
727.05,"XYZ Industries",2025-08-19,"Professional Services","Professional Services purchase from XYZ Industries"
4279.26,"TechCorp Solutions",2025-07-29,"Travel","Travel purchase from TechCorp Solutions"
36431.53,"Office Depot",2025-08-29,"Equipment","Equipment purchase from Office Depot"
2615.70,"Premier Catering",2025-04-17,"Consulting","Consulting purchase from Premier Catering"
130.46,"Standard Equipment",2025-11-26,"Equipment","Equipment purchase from Standard Equipment"
458.79,"Artificial Vendor Co",2025-04-08,"Office Supplies","Office Supplies purchase from Artificial Vendor Co"
3000.00,"Shell Company A",2025-09-19,"Consulting","Consulting purchase from Shell Company A"
10000.00,"Fraudulent Patterns Inc",2025-03-02,"Travel","Travel purchase from Fraudulent Patterns Inc"
1626.97,"ABC Corporation",2025-11-11,"Equipment","Equipment purchase from ABC Corporation"
3057.40,"City Utilities",2025-09-01,"Office Supplies","Office Supplies purchase from City Utilities"
30000.00,"Fraudulent Patterns Inc",2025-02-25,"Equipment","Equipment purchase from Fraudulent Patterns Inc"
24933.72,"Fraudulent Patterns Inc",2025-04-25,"Office Supplies","Office Supplies purchase from Fraudulent Patterns Inc"
3907.16,"Corporate Travel",2025-08-12,"Equipment","Equipment purchase from Corporate Travel"
30000.00,"Digit Manipulation Corp",2025-10-23,"Office Supplies","Office Supplies purchase from Digit Manipulation Corp"
4970.07,"Round Numbers Ltd",2025-06-30,"Equipment","Equipment purchase from Round Numbers Ltd"
124.92,"Digital Solutions",2025-04-05,"Transportation","Transportation purchase from Digital Solutions"
2065.90,"City Utilities",2025-07-16,"Office Supplies","Office Supplies purchase from City Utilities"
4370.22,"Digit Manipulation Corp",2025-03-30,"Equipment","Equipment purchase from Digit Manipulation Corp"
5928.84,"Round Numbers Ltd",2025-08-29,"Utilities","Utilities purchase from Round Numbers Ltd"
22.84,"Corporate Travel",2025-07-22,"Maintenance","Maintenance purchase from Corporate Travel"
9992.61,"Round Numbers Ltd",2025-02-13,"Professional Services","Professional Services purchase from Round Numbers Ltd"
2000.00,"Shell Company A",2025-07-04,"Maintenance","Maintenance purchase from Shell Company A"
306.30,"Standard Equipment",2025-11-09,"Travel","Travel purchase from Standard Equipment"
6681.90,"Shell Company A",2025-12-25,"Consulting","Consulting purchase from Shell Company A"
488.07,"Metro Transit",2026-01-15,"Meals","Meals purchase from Metro Transit"
41.26,"XYZ Industries",2025-07-21,"Office Supplies","Office Supplies purchase from XYZ Industries"
19070.38,"Standard Equipment",2025-12-31,"Office Supplies","Office Supplies purchase from Standard Equipment"
210.43,"Premier Catering",2025-08-28,"Software","Software purchase from Premier Catering"
43485.59,"Global Supplies Inc",2025-11-12,"Maintenance","Maintenance purchase from Global Supplies Inc"
34345.32,"Quality Supplies",2025-10-01,"Professional Services","Professional Services purchase from Quality Supplies"
482.37,"Corporate Travel",2025-12-29,"Equipment","Equipment purchase from Corporate Travel"
101.52,"Global Supplies Inc",2025-10-05,"Transportation","Transportation purchase from Global Supplies Inc"
2000.00,"Shell Company A",2025-05-16,"Transportation","Transportation purchase from Shell Company A"
197606.32,"XYZ Industries",2025-11-20,"Professional Services","Professional Services purchase from XYZ Industries"
395.53,"Global Supplies Inc",2025-08-04,"Software","Software purchase from Global Supplies Inc"
325.06,"Global Supplies Inc",2025-08-16,"Consulting","Consulting purchase from Global Supplies Inc"
1867.52,"Premier Catering",2025-03-31,"Meals","Meals purchase from Premier Catering"
9950.90,"Shell Company A",2025-12-31,"Maintenance","Maintenance purchase from Shell Company A"
539.63,"Express Delivery",2025-07-04,"Meals","Meals purchase from Express Delivery"
207.86,"Express Delivery",2025-12-13,"Office Supplies","Office Supplies purchase from Express Delivery"
47526.49,"Artificial Vendor Co",2025-10-20,"Meals","Meals purchase from Artificial Vendor Co"
162.48,"Premier Catering",2025-06-29,"Meals","Meals purchase from Premier Catering"
2828.57,"Corporate Travel",2025-03-30,"Travel","Travel purchase from Corporate Travel"
30000.00,"Shell Company A",2025-11-01,"Maintenance","Maintenance purchase from Shell Company A"
3995.89,"Professional Services LLC",2025-04-12,"Office Supplies","Office Supplies purchase from Professional Services LLC"
297.77,"Elite Consulting",2025-05-28,"Consulting","Consulting purchase from Elite Consulting"
46018.82,"TechCorp Solutions",2025-09-12,"Travel","Travel purchase from TechCorp Solutions"
383.52,"Premier Catering",2025-06-07,"Travel","Travel purchase from Premier Catering"
43516.93,"Shell Company A",2025-11-07,"Transportation","Transportation purchase from Shell Company A"
3318.79,"Quality Supplies",2025-12-26,"Consulting","Consulting purchase from Quality Supplies"
388.67,"Office Depot",2025-04-07,"Travel","Travel purchase from Office Depot"
131.29,"Standard Equipment",2025-03-25,"Consulting","Consulting purchase from Standard Equipment"
25000.00,"Artificial Vendor Co",2025-03-08,"Consulting","Consulting purchase from Artificial Vendor Co"
4952.59,"Fraudulent Patterns Inc",2025-05-21,"Maintenance","Maintenance purchase from Fraudulent Patterns Inc"
296.59,"Standard Equipment",2025-07-11,"Transportation","Transportation purchase from Standard Equipment"
331.67,"City Utilities",2025-09-11,"Office Supplies","Office Supplies purchase from City Utilities"
476.00,"Quality Supplies",2025-04-20,"Transportation","Transportation purchase from Quality Supplies"
29.01,"City Utilities",2025-05-04,"Consulting","Consulting purchase from City Utilities"
9920.01,"Metro Transit",2025-04-01,"Meals","Meals purchase from Metro Transit"
983.14,"Digit Manipulation Corp",2025-02-11,"Professional Services","Professional Services purchase from Digit Manipulation Corp"
24884.56,"QuickMart",2025-11-16,"Software","Software purchase from QuickMart"
537.65,"Round Numbers Ltd",2025-11-06,"Maintenance","Maintenance purchase from Round Numbers Ltd"
27269.86,"Corporate Travel",2025-08-12,"Professional Services","Professional Services purchase from Corporate Travel"
184.75,"Metro Transit",2025-04-29,"Consulting","Consulting purchase from Metro Transit"
1262.09,"Corporate Travel",2025-04-10,"Software","Software purchase from Corporate Travel"
81.51,"Metro Transit",2025-11-19,"Transportation","Transportation purchase from Metro Transit"
231.40,"Express Delivery",2025-12-08,"Office Supplies","Office Supplies purchase from Express Delivery"
1106.22,"Premier Catering",2025-11-14,"Meals","Meals purchase from Premier Catering"
493.10,"XYZ Industries",2025-10-26,"Travel","Travel purchase from XYZ Industries"
42.98,"Standard Equipment",2026-01-13,"Consulting","Consulting purchase from Standard Equipment"
96.38,"QuickMart",2025-07-21,"Professional Services","Professional Services purchase from QuickMart"
3000.00,"Digit Manipulation Corp",2026-01-30,"Consulting","Consulting purchase from Digit Manipulation Corp"
1939.78,"Quality Supplies",2026-01-26,"Meals","Meals purchase from Quality Supplies"
970.91,"Round Numbers Ltd",2025-03-04,"Utilities","Utilities purchase from Round Numbers Ltd"
2160.66,"Express Delivery",2025-08-09,"Travel","Travel purchase from Express Delivery"
177.73,"Standard Equipment",2025-02-25,"Office Supplies","Office Supplies purchase from Standard Equipment"
317.69,"ABC Corporation",2026-01-27,"Meals","Meals purchase from ABC Corporation"
110.54,"Quality Supplies",2025-07-20,"Consulting","Consulting purchase from Quality Supplies"
4132.54,"City Utilities",2025-06-29,"Utilities","Utilities purchase from City Utilities"
19115.00,"QuickMart",2025-04-03,"Software","Software purchase from QuickMart"
4372.19,"Metro Transit",2025-07-26,"Meals","Meals purchase from Metro Transit"
15321.23,"QuickMart",2025-12-08,"Travel","Travel purchase from QuickMart"
715.10,"Elite Consulting",2025-11-27,"Maintenance","Maintenance purchase from Elite Consulting"
48689.34,"City Utilities",2025-09-26,"Software","Software purchase from City Utilities"
4885.17,"Global Supplies Inc",2025-12-20,"Consulting","Consulting purchase from Global Supplies Inc"
220.47,"Premier Catering",2025-04-01,"Travel","Travel purchase from Premier Catering"
397.66,"City Utilities",2025-09-05,"Maintenance","Maintenance purchase from City Utilities"
260.01,"Elite Consulting",2025-05-26,"Consulting","Consulting purchase from Elite Consulting"
119.35,"Metro Transit",2025-08-17,"Utilities","Utilities purchase from Metro Transit"
2570.09,"Standard Equipment",2026-01-12,"Travel","Travel purchase from Standard Equipment"
405.27,"Office Depot",2025-12-17,"Travel","Travel purchase from Office Depot"
10000.00,"Artificial Vendor Co",2026-01-24,"Travel","Travel purchase from Artificial Vendor Co"
454.77,"ABC Corporation",2025-05-25,"Software","Software purchase from ABC Corporation"
4902.24,"Fraudulent Patterns Inc",2025-03-26,"Consulting","Consulting purchase from Fraudulent Patterns Inc"
24949.71,"Digit Manipulation Corp",2025-05-27,"Equipment","Equipment purchase from Digit Manipulation Corp"
1495.70,"Digital Solutions",2025-12-23,"Equipment","Equipment purchase from Digital Solutions"
6921.26,"Artificial Vendor Co",2025-03-31,"Consulting","Consulting purchase from Artificial Vendor Co"
113.19,"XYZ Industries",2025-05-18,"Travel","Travel purchase from XYZ Industries"
91.70,"ABC Corporation",2025-07-17,"Consulting","Consulting purchase from ABC Corporation"
4969.87,"Artificial Vendor Co",2025-11-07,"Maintenance","Maintenance purchase from Artificial Vendor Co"
3140.30,"Global Supplies Inc",2025-12-29,"Maintenance","Maintenance purchase from Global Supplies Inc"
2088.02,"Quality Supplies",2025-10-15,"Software","Software purchase from Quality Supplies"
44.94,"TechCorp Solutions",2025-08-13,"Travel","Travel purchase from TechCorp Solutions"
231790.33,"Premier Catering",2025-12-16,"Maintenance","Maintenance purchase from Premier Catering"
105.09,"Global Supplies Inc",2025-06-25,"Office Supplies","Office Supplies purchase from Global Supplies Inc"
2051.88,"XYZ Industries",2025-10-28,"Meals","Meals purchase from XYZ Industries"
336.57,"Express Delivery",2025-07-10,"Maintenance","Maintenance purchase from Express Delivery"
4714.33,"City Utilities",2025-10-22,"Equipment","Equipment purchase from City Utilities"
45.32,"ABC Corporation",2025-10-10,"Consulting","Consulting purchase from ABC Corporation"
178.02,"QuickMart",2025-11-17,"Office Supplies","Office Supplies purchase from QuickMart"
581.98,"Fraudulent Patterns Inc",2025-02-06,"Transportation","Transportation purchase from Fraudulent Patterns Inc"
4647.64,"Premier Catering",2025-06-05,"Meals","Meals purchase from Premier Catering"
6769.68,"Fraudulent Patterns Inc",2025-04-23,"Software","Software purchase from Fraudulent Patterns Inc"
135.75,"Professional Services LLC",2025-12-18,"Travel","Travel purchase from Professional Services LLC"
107.62,"Elite Consulting",2025-12-10,"Equipment","Equipment purchase from Elite Consulting"
162.08,"Corporate Travel",2025-04-04,"Professional Services","Professional Services purchase from Corporate Travel"
243350.41,"Quality Supplies",2025-02-16,"Equipment","Equipment purchase from Quality Supplies"
991.16,"Round Numbers Ltd",2025-04-21,"Transportation","Transportation purchase from Round Numbers Ltd"
4486.45,"Premier Catering",2025-11-04,"Transportation","Transportation purchase from Premier Catering"
21.79,"Quality Supplies",2025-08-17,"Travel","Travel purchase from Quality Supplies"
11717.37,"QuickMart",2025-04-02,"Travel","Travel purchase from QuickMart"
922.43,"QuickMart",2025-03-11,"Office Supplies","Office Supplies purchase from QuickMart"
171.52,"Global Supplies Inc",2025-07-27,"Maintenance","Maintenance purchase from Global Supplies Inc"
2833.22,"Express Delivery",2025-12-08,"Office Supplies","Office Supplies purchase from Express Delivery"
26.88,"XYZ Industries",2025-04-10,"Consulting","Consulting purchase from XYZ Industries"
251.96,"TechCorp Solutions",2025-07-27,"Software","Software purchase from TechCorp Solutions"
484.99,"ABC Corporation",2025-07-03,"Meals","Meals purchase from ABC Corporation"
3000.00,"Digit Manipulation Corp",2025-07-27,"Equipment","Equipment purchase from Digit Manipulation Corp"
326.55,"TechCorp Solutions",2025-05-25,"Utilities","Utilities purchase from TechCorp Solutions"
270.94,"Standard Equipment",2025-11-06,"Office Supplies","Office Supplies purchase from Standard Equipment"
108.47,"ABC Corporation",2025-10-22,"Utilities","Utilities purchase from ABC Corporation"
44049.76,"Express Delivery",2025-05-20,"Software","Software purchase from Express Delivery"
20000.00,"Shell Company A",2025-08-19,"Software","Software purchase from Shell Company A"
4000.00,"Artificial Vendor Co",2026-01-03,"Equipment","Equipment purchase from Artificial Vendor Co"
270.13,"City Utilities",2026-01-18,"Utilities","Utilities purchase from City Utilities"
255.36,"Office Depot",2025-07-02,"Maintenance","Maintenance purchase from Office Depot"
3629.16,"QuickMart",2025-08-30,"Consulting","Consulting purchase from QuickMart"
415.49,"TechCorp Solutions",2025-06-06,"Maintenance","Maintenance purchase from TechCorp Solutions"
28058.52,"XYZ Industries",2025-12-28,"Transportation","Transportation purchase from XYZ Industries"
119.26,"XYZ Industries",2025-11-04,"Utilities","Utilities purchase from XYZ Industries"
2801.41,"QuickMart",2026-01-02,"Maintenance","Maintenance purchase from QuickMart"
111.91,"Elite Consulting",2026-01-14,"Maintenance","Maintenance purchase from Elite Consulting"
2630.60,"QuickMart",2025-04-20,"Equipment","Equipment purchase from QuickMart"
4857.85,"Express Delivery",2025-10-06,"Professional Services","Professional Services purchase from Express Delivery"
142.73,"Elite Consulting",2025-12-25,"Utilities","Utilities purchase from Elite Consulting"
2624.71,"XYZ Industries",2025-05-28,"Consulting","Consulting purchase from XYZ Industries"
35674.30,"Express Delivery",2025-02-01,"Equipment","Equipment purchase from Express Delivery"
1833.30,"Elite Consulting",2025-02-07,"Utilities","Utilities purchase from Elite Consulting"
407.02,"XYZ Industries",2025-02-21,"Travel","Travel purchase from XYZ Industries"
5728.73,"Shell Company A",2025-06-01,"Equipment","Equipment purchase from Shell Company A"
257.57,"Elite Consulting",2025-03-17,"Professional Services","Professional Services purchase from Elite Consulting"
25.35,"Standard Equipment",2025-06-17,"Equipment","Equipment purchase from Standard Equipment"
31143.51,"Premier Catering",2025-10-19,"Software","Software purchase from Premier Catering"
16181.86,"Global Supplies Inc",2025-05-18,"Utilities","Utilities purchase from Global Supplies Inc"
409559.46,"Global Supplies Inc",2025-10-06,"Utilities","Utilities purchase from Global Supplies Inc"
438747.77,"Digit Manipulation Corp",2025-05-01,"Office Supplies","Office Supplies purchase from Digit Manipulation Corp"
48.85,"Metro Transit",2025-05-01,"Meals","Meals purchase from Metro Transit"
337.25,"ABC Corporation",2026-01-15,"Equipment","Equipment purchase from ABC Corporation"
205.50,"Global Supplies Inc",2025-08-20,"Professional Services","Professional Services purchase from Global Supplies Inc"
102.02,"Express Delivery",2025-02-20,"Utilities","Utilities purchase from Express Delivery"
20000.00,"Artificial Vendor Co",2025-12-07,"Maintenance","Maintenance purchase from Artificial Vendor Co"
490.58,"XYZ Industries",2025-07-10,"Maintenance","Maintenance purchase from XYZ Industries"
23447.39,"Office Depot",2025-10-31,"Consulting","Consulting purchase from Office Depot"
295.55,"TechCorp Solutions",2025-03-09,"Maintenance","Maintenance purchase from TechCorp Solutions"
9915.55,"Artificial Vendor Co",2025-02-12,"Travel","Travel purchase from Artificial Vendor Co"
2770.49,"Digital Solutions",2025-12-22,"Transportation","Transportation purchase from Digital Solutions"
53383.05,"Round Numbers Ltd",2025-04-03,"Utilities","Utilities purchase from Round Numbers Ltd"
4161.96,"QuickMart",2025-09-18,"Equipment","Equipment purchase from QuickMart"
189.76,"Professional Services LLC",2025-08-14,"Travel","Travel purchase from Professional Services LLC"
1448.45,"Professional Services LLC",2025-03-02,"Professional Services","Professional Services purchase from Professional Services LLC"
122780.87,"Elite Consulting",2025-12-03,"Travel","Travel purchase from Elite Consulting"
1590.16,"XYZ Industries",2025-06-08,"Equipment","Equipment purchase from XYZ Industries"
734.85,"City Utilities",2025-09-25,"Office Supplies","Office Supplies purchase from City Utilities"
10000.00,"Artificial Vendor Co",2025-02-06,"Office Supplies","Office Supplies purchase from Artificial Vendor Co"
295.27,"Global Supplies Inc",2025-10-14,"Equipment","Equipment purchase from Global Supplies Inc"
5000.00,"Shell Company A",2025-10-18,"Meals","Meals purchase from Shell Company A"
264.44,"Quality Supplies",2025-02-08,"Utilities","Utilities purchase from Quality Supplies"
25000.00,"Artificial Vendor Co",2026-01-12,"Office Supplies","Office Supplies purchase from Artificial Vendor Co"
424.44,"Artificial Vendor Co",2025-10-13,"Maintenance","Maintenance purchase from Artificial Vendor Co"
